직업코드	직업명	등급	직업기술서	예시
11102	의회의원/공공단체임원	A	의회의원으로서 국가 및 지방자치단체의 법령 및 조례를 제정·개정 또는 폐지에 종사하거나, 공공단체 임원으로서 공공단체의 정책을 수립하고 그 집행을 지휘하며 조직을 대표·대리한다.	국회의원, 교육감, 교육위원, 교육의원, 교육청교육의원, 시도교육위원회교육위원, 시의원, 시의회의원, 군의원, 군의회의원, 구의원, 구의회의원, 도의원, 도의회의원, 지방의회의원, 대통령, 국무총리, 대법원장, 헌법재판소장, 장관, 차관, 차관보, 청장 및 감사원장, 감사원감사위원, 국무조정실장, 국가보훈처장, 국가보훈처차장, 국회사무처장, 식품의약품안전처장, 인사혁신처장, 법제처장, 법제처차장, 공정거래위원회위원장, 방송통신위원회위원장, 금융위원회위원장, 국민권익위원회위원장, 국가인권위원회위원장, 원자력안전위원회위원장, 중앙선거관리위원회위원장, 중앙선거관리위원회위원, 대사, 영사, 대통령비서실장 등 중앙정부 2급(이사관)이상 공무원, 한국은행총재, 건강보험심사평가원장, 경제인문사회연구회이사장, 공무원연금공단이사장, 과학기술정책연구원장, 교통안전공단이사장, 국민건강보험공단이사장, 국민연금공단이사장, 국토연구원장, 근로복지공단이사장, 사립학교교직원연금공단이사장, 산업연구원장, 소상공인시장진흥공단이사장, 신용보증기금이사장, 에너지경제연구원장, 정보통신산업진흥원장, 정보통신정책연구원장, 중소기업진흥공단이사장, 한국감정원장, 한국개발연구원장, 한국고용정보원장, 한국교육개발원장
11103	공무원(5급 이상)(현장, 기능업무 수행자 제외)	A	국가공무원법 또는 지방공무원법 등에 정한 공무원 중 5급 이상 공무원을 말하며, 현장, 기능업무 수행자는 제외한다.- 현장, 기능업무 수행자는 사무업무를 수행하지 않거나 현장관리, 검사, 감독 등 대부분의 업무를 사무실이 아닌 곳에서 수행하는 자를 말한다.	기획재정부 예산실 예산담당관, 행정안전부 인사관리팀장, 법제처 법령기획관, 외교부 국제정책 담당관, 문화체육관광부 문화정책팀장, 보건복지부 사회복지정책관, 서울시청 도시계획과장, 교육부 교육정책담당관, 환경부 환경정책과장, 국토교통부 건걸정책과장
11104	공무원(5급 이상)(현장, 기능업무 수행자)	A	국가공무원법 또는 지방공무원법 등에 정한 공무원 중 5급 이상 공무원을 말하며, 현장, 기능업무 수행자에 한하여 적용한다.- 현장, 기능업무 수행자는 사무업무를 수행하지 않거나 현장관리, 검사, 감독 등 대부분의 업무를 사무실이 아닌 곳에서 수행하는 자를 말한다.	토목사무관, 건축사무관, 기계사무관,전기전자사무관, 환경사무관, 의무사무관(의사), 수의사무관, 약무사무관(약사),재난안전사무관, 산림사무관, 농업사무관
11201	기업 대표이사 및 고위임원(자영업 제외, 작업 미참여)	A	최고 경영진으로서 이사회나 이와 유사한 운영기관 또는 법령에 의해 위임된 권한 하에 사업체의 전반적인 정책을 수립하고 사업계획을 결정, 기관이나 기업을 대표하며 기업 내 중간 관리자를 관리, 주로 사업본부 또는 부문 형태의 조직을 담당하는 자	CEO, 기업 회장, 사장, 영리단체총괄경영자, 이사장, 정부투자기관이사장, 최고경영자, 기업고위임원, 기업부회장, 부사장, 영리단체고위임원, 일반기업체고위임원, 정부투자기관고위임원
12021	경영지원 사무직 관리자	A	경영자의 포괄적인 지휘하에 다른 부서의 관리자와 의논하여 경영, 인사 등의 경영 지원 업무와 생산 활동을 지원하는 업무에 관련된 활동을 기획, 지휘 및 조정하는 자 및 경영 지원 관리자	인사부서관리자, 총무부서관리자, 노무부서관리자, 기획관리자, 마케팅부서관리자, 행사대행서비스관리자, 홍보실장, 마케팅관리자, CMO, 재무부서관리자, 회계부서관리자, 자금부서관리자, 감사부서관리자, 경영진단관련서비스관리자, 사무대행관련서비스관리자, 세무 및 회계 관리 서비스 관리자, 신용평가/사업중개/상품전시 및 행사대행/사무대행 관련 서비스 관리자
13111	연구 사무직 관리자	A	인문과학, 사회과학, 생명과학, 자연과학 및 공학 분야의 연구, 활동을 기획하고 조정, 지휘하는 자	인문과학 연구관리자, 사회과학 연구관리자, 생명과학 연구관리자, 자연과학 연구관리자, 환경공학 연구관리자, 건설공학 연구관리자, 건축공학 연구관리자, 금속공학 연구관리자, 전기공학 연구관리자, 전자공학 연구관리자, 기계공학 연구관리자
13121	교육 사무직 관리자	A	유아교육기관, 초등학교, 중학교, 고등학교, 대학교, 대학원 등 국·공·사립 및 주·야간 교육기관, 특수교육기관과 성인교육 및 직업훈련을 위한 학원의 업무를 기획, 지휘 및 조정하는 자	대학교총장, 대학교학장, 대학교부총장, 대학총장, 대학학장, 대학장, 대학원장, 전문대학학장, 대학교무처장, 대학기획처장, 대학총무처장, 대학학생처장, 유치원장, 유치원 원장, 유치원감, 유치원 원감
13131	법률 사무직 관리자(로펌대표 등)	A	사법행정 등 법률에 관련된 공공서비스를 제공하는 사업체나 공공기관의 운영을 기획, 지휘 및 조정하는 자를 말한다. 로펌회사 관리자도 여기에 포함된다.	로펌대표, 법무팀장, 법무부서장, 법률서비스관리자, 법률서비스부서장, 법무서비스업전문관리자
13132	경찰 사무직 관리자(경무관 이상)	A	공공질서와 치안유지 등 경찰과 관련된 공공서비스를 제공하는 기관과 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다. 	경찰청장(치안총감), 지방경찰청장(치안정감), 경찰청 국장급(치안감), 경찰청 심의관, 경찰청 부장(경무관)
13133	경찰 사무직 관리자(총경-경위)	A	공공질서와 치안유지 등 경찰과 관련된 공공서비스를 제공하는 기관과 업무의 운영을 기획,지휘 및 조정하는 자를 말한다. 	경찰서장(총경), 경찰서 과장(경정), 지구대장, 경찰서 반장급(경감), 파출소장, 지구대 순찰팀장, 경찰서 계장급(경위)
13134	소방 사무직 관리자(소방감 이상)	A	소방행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다	소방방재청 국장(소방감), 소방방재청 차장(소장정감), 소방방재청장(소방총감)
13135	소방 사무직 관리자(소방정-소방위)	A	소방행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다	소방서장(소방정), 소방서 과장(소방령), 소방서 담당(소방경), 구조대장(소방위)
13136	교도 사무직 관리자(교도소장 등)	A	교도행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자	교도소장, 보호관찰소장, 소년원장, 소년원학교장, 교도관리자
13201	보험 및 금융 사무직 관리자	A	보험 및 연금 사업체, 은행, 증권사, 신탁회사, 신용조합이나 유사한 금융기관 등의 부서 운영을 계획, 조직, 지휘하고 관리한다. 또는 개인 및 사업대출, 예금인수, 증권·선물매매, 투자자금 운용, 신탁관리, 부동산이나 기타 관련 활동의 청산을 맡고 있는 기관 등의 부서 운영을 계획, 조직, 지휘하고 관리한다.	타보험회사 본부장, 팀장, 파트장, 소파트장, 영업부장, 지역단장, 지점장
13201a	보험 사무직 관리자(당사)	A	당사에서 부서 업무를 기획, 지휘 및 조정하는 자를 말한다. 단, 보험대리점 대표 및 관리자는 제외	한화손해보험 본부장, 팀장, 파트장, 소파트장, 영업부장, 지역단장, 지점장
13201b	금융 사무직 관리자(보험·대출알선·채권추심 제외)	A	연금 사업체, 은행, 증권사, 신탁회사, 신용조합이나 유사한 금융기관 등의 부서 운영을 계획, 조직, 지휘하고 관리한다.	연금관리자, 연금사무관리자, 연금업운영부서관리자, 자동차보험관리자, 재보험관리자, 거래소관리자, 금융감독기관관리자, 금융관리자, 금융기관지역사업부장, 금융기관지점관리자, 금융기관지점장, 금융리스크관리부서관리자, 금융및보험회사경영자,전문관리자, 금융업운영부서관리자, 금융업전문관리자, 금융위험관리부서관리자, 농·수·축협조학장,지역, 농협조합장, 마을금고이사장, 선물옵션거래관리자,금융, 수협조합장, 신용관리자, 신용사무관리자, 신용조사관리자
13201c	대부·사채·대출알선·채권추심·환전업 사무직 관리자	A	대부업 및 사채업 등 주로 대출알선 및 채권추심 등의 활동을 하는 업체에서 부서 업무를 기획, 지휘 및 조정하는 자를 말한다.	대부업체 관리자, 사채업체 관리자, 대출알선업체 관리자, 신용조사업체 관리자, 흥신소 관리자, 대부업자, 고리대금업자
13201d	신용조사업 사무직 관리자	A	신용조사업(타인의 상거래, 자산, 금융 기타 경제상의 신용에 관한 사항을 조사하여 의뢰자에게 알려 주는 업) 관련 업무를 계획, 조직, 지휘하고 관리하는 자를 말한다.	신용조사회사·흥신소 대표 및 사무직 관리자
13201e	대형 대부업체 사무직 관리자(내근직)	A	대부업 및 사채업 등 주로 대출알선 및 채권 추심 등의 활동을 하는 한국대부금융협회에 등록된 직원300명 이상인 업체에서 부서 업무를 기획, 지휘 및 조정하는 자로 내근직을 말한다.	대형 대부업체 사무직 관리자
13310	보건의료관련 사무직 관리자(원무과 제외)	A	보건 및 의료서비스를 제공하는 기관 내에서 진단, 처치, 간호 및 치료 등의 건강관리서비스를 기획, 지휘 및 조정하는 자를 말한다. 단, 직접 환자를 진료, 치료하거나 간호하는 경우는 해당 직업으로본다. 	병원장, 요양병원원장, 한방병원원장, 장애인의료재활원 원장 및 사무직 관리자
13310a	보건의료관련 사무직 관리자(종합병원)	A	종합병원에서 진단, 처치, 간호 및 치료 등의 건강관리서비스를 기획, 지휘 및 조정하는 자를 말한다. 다만 직접 환자를 진료, 치료하거나 간호하는 경우는 제외한다.	종합병원 원장 및 사무직 관리자
13320	사회복지관련 사무직 관리자	A	사회복지 기관단체에서 관련 업무를 기획, 지휘 및 조정하는 관리자를 말한다.	NPO 관리자, NGO 관리자, 복지기관 관리자, 복지시설 관리자, 복지단체 관리자, 사회사업단체 관리자, 소비자보호단체 관리자, 야생동물보호단체 관리자, 양로원 관리자, 영아원 관리자, 유아원 관리자,어린이집 관리자, 인권보호단체 관리자, 인도주의단체 관리자, 자연보호단체 관리자, 자원봉사단체 관리자, 사회사업 협회 관리자, 환경단체 관리자, 비영리단체 관리자
13401	문화/예술/디자인 및 영상 관련 사무직 관리자	A	신문사, 방송사, 영화사, 연극단체, 도서관, 기록보관소, 박물관, 화랑 등 문화,예술, 디자인, 영상관련 분야 기관의 운영을 기획, 지휘 및 조정한다.	극단 관리자, 도서관 관리자, 동물원 관리자, 식물원 관리자, 미술관 관리자, 박물관 관리자, 무용단 관리자, 발레단 관리자, 오페라단 관리자, 화랑 관리자, 사적 관리자, 수족관 관리자, 유원지 관리자, 디자인관련부서관리자, 신문제작국장, 신문취재국장, 영화제작자, 영화배급업 관리자
13501	정보통신관련 사무직 관리자	A	정보 통신, 정보 시스템 또는 전산 부서의 종사자들을 지휘·감독하고 경영주 또는 기술진의 특정한 정보 요구사항을 검토하여 프로젝트의 성격을 규정하고, 새로운 프로그램 검증과 운영체제를 도입하기 위하여 컴퓨터 운영 계획 및 전산장비의 구입에 관한 사항을 협의하고 조정한다.	컴퓨터하드웨어회사관리자, 컴퓨터하드웨어개발관리자, 컴퓨터하드웨어개발부서관리자, 소프트웨어개발부서관리자, 소프트웨어회사관리자, 컴퓨터소프트웨어개발관리자, 소프트웨어회사,소프트웨어개발부서관리자, 정보처리회사경영자, 정보처리회사관리자, 인터넷데이터센터관리자, 전산업무부서관리자, 정보운영부서관리자, 컴퓨터운영부서관리자, 우체국장, 전보송수신관리자, 전신국장, 전신전화국장, 전신집중국장, 전화국장, 전화번호안내부서관리자, 전화회사운영자, 통신관리자
13901	시장 및 여론 조사 사무직 관리자	A	시장 및 여론 조사 관리자는 상품의 잠재수요, 인지도, 친숙도, 구매습관 등의 시장 조사나 정치적, 경제적, 사회적 관심도 또는 의식상태 등의 여론조사 등과 관련된 활동을 기획, 지휘 및 조정하는 자를 말한다.	리서치사조사부서관리자, 시장및여론조사관리자, 시장조사회사경영자, 여론조사업여론조사부서관리자, 여론조사업체여론조사부서관리자, 여론조사회사경영자
13902	부동산 및 임대회사 사무직 관리자(공인중개사, 개인임대사업자 제외)	B	부동산임대, 공급, 중개, 감정 및 관리나 운수장비 기타산업용 기계장비 및 개인, 가정용품임대 등과 관련된 활동을 기획, 지휘 및 조정하는 자를 말한다. 	부동산및임대업관리자, 부동산업관리자, 부동산업운영부서관리자, 부동산회사경영자, 부동산회사관리자, 부동산회사영업부서관리자, 임대사업관리자, 임대사업운영부서관리자, 임대사업체경영자, 임대사업체영업부서관리자
13902a	임대업 사무직 관리자(부동산 제외)	B	운수장비 기타 산업용 기계장비 및 개인, 가정용품 임대 등과 관련된 활동을 기획, 지휘 및 조정하는 자를 말한다.	렌탈 서비스 관련 종사자
13903	인력공급 및 알선 서비스 사무직 관리자	B	인력공급 및 알선서비스 등을 제공하는 사업체 또는 부서의 운영을 기획, 지휘 및 조정하는 자를 말한다.	인력공급및알선서비스관리자, 인력공급부서관리자, 인력공급업전문관리자, 인력알선업전문관리자, 인력파견서비스관리자, 헤드헌팅서비스관리자
13909	그 외 전문서비스 사무직 관리자	A	상기 세세분류에 포함되지 않는 유사한 직무를 수행하는 전문 서비스 관리자를 말한다.	기타 전문선비스 사무직 관리자
14111	건설 및 광업 관련 사무직 관리자	B	건설 회사나 회사 내 건설부서의 활동을 기획, 지휘 및 조정한다. 광업 관리자는 광산이나 정유 업체의 운영을 기획, 지휘 및 조정한다.	건설업건설부서관리자, 건설업관련생산부서관리자,  건설업건축부서관리자, 건설업토목부서관리자, 광업기업경영자, 광업기업생산부서관리자, 광업생산부서관리자, 광업안전보안관리자, 광업전문관리자, 석탄생산관리자, 연탄제조공장경영자, 연탄제조기업생산부서관리자, 연탄제조업관리자, 연탄제조업생산부서관리자, 토사석채취업관리자
14121	전기/가스 및 수도 관련 업체 사무직 관리자	A	전기, 수도, 가스, 증기 및 온수산업에서 전기, 가스의 제조 및 공급, 물, 증기, 온수의 공급 등과 관련된 생산 활동을 기획·지휘 및 조정한다.	배전운영계획관리자, 변전운영계획관리자, 전기관련관리자, 가스공급관리자, 가스공급상황실운영관리자, 가스관련관리자, 수도공급관리자, 수도관련관리자, 수도사업체경영자, 온수공급관리자, 증기공급관리자, 증기및온수관련관리자
14131	제품 생산관련 업체 사무직 관리자	A	식품, 섬유 및 의복, 화학, 금속, 기계, 전기·전자 제품 등의 생산관리 및 제품수리, 기술과 관련한 사업체 및 부서의 운영을 기획, 지휘 및 조정한다.	석유정제부서관리자, 의약품제조부서관리자, 화장품제조부서관리자, 콘크리트제조업관리자, 복생산계획관리자, 의복생산공정관리자, 의복제품생산관리자, 직조업생산부서관리자, 편조물제조업관리자 , 담배제조업생산부서관리자, 맥주양조제조부서관리자, 식품공장관리자(공장장), 식품생산계획관리자, 세탁기제조기업생산부서관리자, 목공기계제조기업생산부서관리자, 산업용보일러생산공장관리자 , 금속가구제조업생산부서관리자
14901	농림어업관련 사무직 관리자	B	기업경영자의 포괄적인 지휘하에 다른부서 관리자와 의논하여 작물생산, 축산, 조경, 영림, 벌목, 어로, 양식 등과 관련된 생산활동을 기획, 지휘 및 조정하는 관리자를 말한다. 	농림어업관련관리자, 농업기업관리자, 농업기업생산부서관리자, 농장경영자,전문관리자, 축산생산관리자, 수산생산관리자, 농산물생산관리자, 임산물생산관리자, 수렵업기업생산부서관리자, 어업기업생산부서관리자, 육우생산부서관리자, 화훼생산관리자, 임업기업관리자, 임업기업생산부서관리자
14902	수리 및 정비 관련업체 사무직 관리자	B	수리업관련 서비스를 제공하는 사업체의 운영을 조직, 계획하고 지시하며 관리하는 자를 말한다.	가정용품수리업체경영자,전문관리자, 수리및정비관련관리자, 수리업기업수리활동부서관리자, 수리업운영부서관리자, 수리업전문관리자, 수리업체관리자, 자동차수리업운영부서관리자, 자동차수리업전문관리자, 자동차수리업체경영자, 정비관련관리자
14909	그 외 건설·전기 및 생산 관련업체 사무직 관리자	A	상기 세세분류의 어느 항목에도 포함되지 않은 건설· 전기 및 생산 관련 부서 관리자가 여기에 분류된다.	기타 건설,전기 및 생산 관련업체 사무직 관리자
15111	영업 및 판매업체 관련 사무직 관리자	A	도매 또는 소매로 물품을 판매하는 사업체 및 일반 영업부서의 운영을 기획,지휘하는 일을 담당하고 일반 제조업체에 고용되거나 자신의 상점을 소유하고 운영하기도 한다. 전자 · 통신 및 전산, 산업용 기계, 자동차 분야 기술영업 부서의 활동을 기획, 지휘하는 일을 담당하는 기술영업 관리자와 무역 및 무역 중개업의 운영을 기획, 지휘, 조정하는 무역 관련 관리자도 포함된다.	기술영업관리자, 도매업전문관리자, 방송장비기술영업관리자, 백화점운영(영업)부서관리자, 산업용기계장비기술영업관리자, 소매업전문관리자, 영업관련관리자, 소매업전문관리, 영업부서관리자, 자동차영업관리자, 프랜차이즈사업운영부서관리자, 할인매장영업부서관리자, 자동차영업소장, 자동차영업경영자, 자동차영업부서관리자, 제약영업관리자, 대형마트점장
15112	장비 및 기계임대 서비스 관리자	A	운수장비 및 기타 산업용 기계장비와 개인, 가정용품 임대 등과 관련된 활동을 기획, 관리 및 조정하는 자를 말한다	운수장비 임대업체 관리자, 산업기계 임대업체 관리자
15121	육상운송업체 사무직 관리자	A	육상운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송업무에종사하는 직원들의활동을감독·조정하는자를 말한다.	도로운송영업전문관리자, 물류센터관리자,육상, 버스및택시회사관리자, 버스운송전문관리자, 부역장, 여객운송업영업부서관리자(육상), 여객운송업체영업부서관리자(육상), 역장, 육상운송관리자, 전동차역장, 전철역장, 지역관리역장, 지하철역장, 창고업운영부서관리자, 창고업전문관리자(육상), 철도역장, 컨테이너터미널운영관리자, 케이블카운영관리자(운송), 택시운송관리자, 택시운송관리자,경영관리자, 택시회사관리자, 택시회사운송부서관리자, 트럭회사관리자, 트럭회사운송부서관리자, 화물집하소운영관리자,창고업, 버스및택시회사운송부서관리자
15122	해상운송 사무직 관리자	A	해상운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송업무에종사하는 직원들의 활동을 감독·조정하는 자를 말한다. 	선박운송부서관리자, 선박회사관리자, 수상여객운송관리자, 수상화물운송관리자, 여객운송업경영자,해상, 여객운송업영업부서관리자(해상), 여객운송업체영업부서관리자(해상), 운수업전문관리자,해상, 유람선운영관리자, 해상운송관리자
15123	항공운송관련업체 사무직 관리자	A	항공운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송업무에종사하는 직원들의 활동을 감독·조정하는 자를 말한다. 	여객운송업부서관리자,항공, 여객운송업체부서관리자,항공, 항공운송관련관리자, 항공운송부서관리자, 항공운송회사경영자, 항공회사관리자, 항공회사영업부서관리자
15124	그 외 운송 관련 관리자	A	육상·해상·항공운송에 포함되지 않는 분야에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송 업무에 종사하는 직원들의 활동을 감독·조정하는 자를 말한다.	뮬류 관리자, 교통 관리자, 운송 관리자, 공항 운영 관리자, 선박 운영 관리자, 화물 운송 관리자, 기차 운영 관리자, 택시 운송 관리자 
15211	숙박.여행.오락 및 스포츠 관련 업체 사무직 관리자	B	숙박, 여행, 오락, 스포츠, 미용, 음식 등 고객에게 서비스를 제공하는 관련 사업체나 부서의 운영을 위한 정책 및 절차를 세우고 조직하며, 조정, 관리하고 프로그램 및 서비스를 개발하고 운영 등을 기획, 지휘, 조정한다.	스포츠산업 운영부서 관리자, 스포츠 운영단장, 스포츠 협회장, 스포츠에이전시 관리자, 경기장 운영부서 관리자(사격, 스키, 야구 등), 스포츠기관운영부서관리자, 스포츠기관전문관리자, 스포츠산업운영부서관리자, 스포츠센터운영관리자, 스포츠에이전시관리자, 스포츠운영단장, 스포츠협회장, 경기장운영관리자, 경기장운영부서관리자, 경마장운영관리자, 경마지점관리자, 부서관리자, 레크레이션기관관리자, 사격운영부서관리자, 스키운영부서관리자, 실내경기장관리자, 야구장운영관리자, 야구장운영부서관리자, 운동시설관리자, 전자오락실관리자, 정구장관리자, 축구장운영관리자
15211a	골프 관련업체 사무직 관리자(스크린골프 포함)	B	골프장이나 스크린골프장 사업체의 부서의 운영을 기획, 지휘 및 조정하는 자를 말한다.	골프운영부서관리자, 골프장관리자,전문관리자, 골프장운영관리자
15211b	오락 관련업체 사무직 관리자	B	오락 관련 사업체나 부서의 운영을 기획, 지휘 및 조정하는 자를 말한다.	오락및스포츠관련관리자, 오락업운영부서관리자
15212	유흥관련업체 경영 및 사무관리자	B	유흥, 단란주점 등의 주류 접객업소 또는 무도시설이 갖추어진 곳을 운영하는 경영자나 사무직 관리자를 말한다.	유흥주점 관리자
15213	카지노사업자	A	카지노의 운영 및 관리 업무를 총괄하고 종사원의 활동을 감독·조정한다.	카지노 관리자
15220	식품관련업체 사무직 관리자(법인이나 회사에 한함)	B	법인이나 회사로서의 음식 식품관련 업체 등에서 음식 및 음료 서비스 운영을 기획, 지휘 및 조정하는 자를 말한다. 조리, 대금수납 및 음식제공 등을 직접 행하는 경우는 제외된다.	단란주점관리자, 레스토랑매니저, 바및클럽매니저, 뷔페지배인, 스카이라운지지배인, 식당지배인, 연회장지배인, 음식서비스업체관리자, 음식업운영부서관리자, 음식점업운영부서관리자, 제과점관리자, 주점지배인, 중식업지배인, 찻집관리자, 카바레관리자, 카페관리자, 카페지배인, 클럽매니저, 패스트푸드점매니저, 한식업지배인, 호텔음식지배인
15301	환경·청소 및 경비 관련업체 사무직 관리자	A	환경관련 서비스를 제공하는 사업체의 운영을 조직, 계획하고 지시하며 관리하는 자를 말한다. 국가시설, 병원, 학교, 빌딩, 사업장 등의 시설경비업체나, 경비 및 보안서비스 업체의 운영을 조직, 계획하고 지시, 관리하는 자를 말한다. (현장작업미참여)	대기오염물질수거처리관리자, 방역서비스업체관리자, 분뇨수거처리관리자, 쓰레기수거처리업운영부서관리자, 폐기물수집및처리업운영부서관리자, 폐수·하수처리장관리자, 환경서비스업관리자, 환경시설관리자, 환경오염배출시설업운영부서관리자, 건물청소업전문관리자, 공공장소청소전문관리자, 사업장청소업전문관리자, 청소업체관리자, 경비서비스업체관리자, 경호업전문관리자, 귀중품호송업체관리자, 시설경비업체관리자, 신변보호업전문관리자
15901	기타 판매 및 고객 서비스 업체 사무직 관리자	A	상기 세세분류 어느 항목에도 포함되지 않은 유사한 직무를 수행하는 자를 말한다. (현장작업미참여)	협회장 및 협회 사무직 관리자, 산업단체/노동조합/전문가단체 사무직 관리자
16001	통신업체 현장관리자	B	현장에서 통신관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	통신업체 현장관리자
16003	건설업체관련 현장관리자	C	토목·건축·설비 등 건설공사의 시공 및 시공감독 업무를 수행하고, 공사현장 작업원의 활동을 감독·조정한다.(현장작업 미참여)	공사현장 관리자. 건설현장 소장, 인테리어 감독
16004	광업관련 현장관리자	B	현장에서 광업관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	광업 현장관리자
16005	전기관련업체 현장관리자	B	현장에서 전기관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	전기 현장관리자
16006	가스관련업체 현장관리자	C	현장에서 가스관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	가스 현장관리자
16007	수도관련업체 현장관리자	B	현장에서 수도관 관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	수도 현장관리자
16008	증기 및 온수 관련업체 현장관리자	B	현장에서 증기 및 온수관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	증기 및 온수 관련업체 현장관리자
16009	화학, 섬유, 식품, 설비 생산부서 현장관리자	B	현장에서 화학, 섬유, 식품, 설비 관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	화학제품공장 현장관리자(공장장), 섬유공장 현장관리자(공장장), 식품공장 현장관리자(공장장)
16010	전기, 전자, 기계, 금속 생산부서 현장관리자	B	현장에서 전기, 전자, 기계금속 등 생산관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. (현장작업 미참여)	전기·전자제품 공장 현장관리자(공장장), 기계제품 공장 현장관리자(공장장), 금속제품 공장 현장관리자(공장장)
16011	그 외 제품생산관련업체 현장관리자	B	상기 세세분류 어느 항목에도 포함되지 않은 유사한 직무를 수행하는 자를 말한다. (현장작업 미참여)	그 외 제품생산관련업체 현장관리자
16012	농림어업관련 현장관리자	B	현장에서 농림어업관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. 	농림 현장관리자
16013	수리 및 정비 관련업체 현장관리자	B	현장에서 수리 및 정비관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. 	수리 및 정비 관련업체 현장관리자
16014	그 외 건설·전기 및 생산 관련업체 현장관리자	B	현장에서 건설전기생산관련 인력, 장비 및 사용되는 기술이 적정한지 판단하는 자를 말한다. 	그 외 건설·전기 및 생산 관련업체 현장관리자
16015	창고현장 현장관리자	B	물류 및 창고 업체의 운영을 기획, 지휘, 조정한다.	창고 현장관리자
16016	육상운송업체 현장관리자	C	육상운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송 업무에 종사하는 직원들의 활동을 감독 · 조정하는 자를 말한다.	버스 및 택시회사 현장관리자, 트럭회사 현장관리자
16017	해상운송 현장관리자	B	해상운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송 업무에 종사하는 직원들의 활동을 감독 · 조정하는 자를 말한다.	해상 현장관리자
16018	항공운송관련업체 현장관리자	C	항공운송에 관한 전반적인 계획을 수립하고, 신속하고 효율적인 수송을 위하여 운송 업무에 종사하는 직원들의 활동을 감독 · 조정하는 자를 말한다.	항공 현장관리자
16019	환경·청소 및 경비 관련업체 현장관리자	B	경비서비스나 주택시설 청소, 폐기물 처리 및 수질 환경 관리 업체의 운영을 기획, 지휘 및 조정하는 자를 말한다.(현장작업 미참여)	아파트 및 빌딩 관리사무소장 및 관리자, 폐기물처리업 현장관리자, 환경서비스업 현장관리자, 폐수·하수처리장 현장관리자, 시설경비업체 현장관리자, 경비서비스업체 현장관리자, 분뇨수거처리 현장관리자, 청소업체 현장관리자, 방역서비스업체 현장관리자
16020	기타 현장관리자	B	상기 세세분류에 포함되지 않는 현장관리자와 유사한 직무를 수행하는 관리자가 여기에 분류된다.	기타 현장관리자
21111	생명과학 연구원	A	생물학, 의약, 식품, 농업, 임업 등 생명과학 분야의 이론과 응용에 관한 연구를 수행하는 자를 말한다.	생물학 연구원, 의학 연구원, 약학 연구원, 농학 연구원, 임학 연구원, 수산학 연구원, 식품학 연구원, 축산 및 수의학 연구원
21121	자연과학 연구원	A	물리학 · 생물학 · 화학 · 지구 및 기상과학, 천문 및 우주과학 등 자연과학 분야의 이론과 응용에 관한 연구를 수행하는 자를 말한다.	물리학 연구원, 화학 연구원, 천문 및 기상학 연구원, 수학 및 통계학 연구원, 환경 및 해양과학 연구원
21211	인문과학 연구원	A	철학, 역사학, 언어학, 심리학 등 인문과학 분야에서 관련 지식을 응용하여 이론 및 운영기법을 개선, 개발하며 학술적 논문 및 보고서를 작성하는 자를 말한다.	철학 연구원, 역사학 연구원, 언어학 및 문학 연구원, 인류학 연구원, 교육학 연구원, 심리학 연구원
21221	사회과학 연구원	A	경제학, 사회학, 정치학, 사회복지학 등의 관련 지식을 응용하여 사회과학을 연구하여 그에 대한 개념, 이론 및 운영기법을 개선, 개발하고 학술적 논문 및 보고서를 작성하는 자를 말한다.	정치학 연구원, 경제학 연구원, 경영학 연구원, 사회학 연구원, 사회복지학 연구원, 언론학 연구원, 종교학 연구원, 지리학 연구원
21231	공학관련 연구원	A	건축, 화학, 금속, 환경, 전기, 전자, 기계 등 공학 분야의 개념, 이론 및 운영 방법을 개선, 개발에 관하여 기획, 지휘하거나 연구개발, 설계에 종사하는 자를 말한다.	공학관련 연구원
